make,model,Link
Chevrolet,Colorado,http://carsalesbase.com/us-car-sales-data/chevrolet/chevrolet-colorado
Jeep,Wrangler,http://carsalesbase.com/us-car-sales-data/jeep/jeep-wrangler
Chevrolet,Silverado,http://carsalesbase.com/us-car-sales-data/chevrolet/chevrolet-silverado
Subaru,WRX,http://carsalesbase.com/us-car-sales-data/subaru/wrx-sti/
GMC,Canyon,http://carsalesbase.com/us-car-sales-data/gmc/gmc-canyon
Toyota,4Runner,http://carsalesbase.com/us-car-sales-data/toyota/toyota-4runner
GMC,Sierra,http://carsalesbase.com/us-car-sales-data/gmc/gmc-sierra
Toyota,Tacoma,http://carsalesbase.com/us-car-sales-data/toyota/toyota-tacoma
Honda,Ridgeline,http://carsalesbase.com/us-car-sales-data/honda/honda-ridgeline
Toyota,Tundra,http://carsalesbase.com/us-car-sales-data/toyota/toyota-tundra
BMW,7 Series,http://carsalesbase.com/us-car-sales-data/bmw/bmw-7-series
Fiat,500e,http://carsalesbase.com/us-car-sales-data/fiat/fiat-500/
Jaguar,XJ,http://carsalesbase.com/us-car-sales-data/jaguar/jaguar-xj
Jaguar,XK,http://carsalesbase.com/us-car-sales-data/jaguar/jaguar-xk
Lincoln,MKS,http://carsalesbase.com/us-car-sales-data/lincoln/lincoln-mks
Mercedes-Benz,CL-Class,http://carsalesbase.com/us-car-sales-data/mercedes-benz/mercedes-benz-cl/
Nissan,Leaf,http://carsalesbase.com/us-car-sales-data/nissan/nissan-leaf
Smart,ForTwo Electric Drive,http://carsalesbase.com/us-car-sales-data/smart/smart-fortwo-electric-drive/
